start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
2019-10-01 03:07:59,6411,2019-10-01 03:10:39,6205,159,1
2019-10-01 03:13:29,6112,2019-10-01 03:18:40,7009,311,1
2019-10-01 03:13:32,6212,2019-10-01 03:31:07,6250,1054,1
2019-10-01 03:13:59,6388,2019-10-01 03:53:13,6329,2354,1
2019-10-01 03:14:14,6224,2019-10-01 03:21:26,7022,432,1
2019-10-01 03:16:42,6084,2019-10-01 03:27:16,7068,633,1
2019-10-01 03:18:43,7127,2019-10-01 03:35:18,6905,995,1
2019-10-01 03:19:22,6905,2019-10-01 03:31:01,6391,699,0
2019-10-01 03:19:32,6217,2019-10-01 03:37:26,6043,1073,1
2019-10-01 03:19:52,6177,2019-10-01 03:22:58,6214,186,1
2019-10-01 03:21:30,6100,2019-10-01 03:34:10,6404,759,0
2019-10-01 03:23:50,6124,2019-10-01 03:29:06,6113,316,1
2019-10-01 03:23:51,6114,2019-10-01 03:27:58,6110,246,1
2019-10-01 03:24:46,6099,2019-10-01 03:27:06,6011,140,1
2019-10-01 03:25:08,6178,2019-10-01 03:26:54,6176,105,1
2019-10-01 03:25:40,6255,2019-10-01 03:32:51,6734,431,1
2019-10-01 03:28:44,6398,2019-10-01 03:44:49,6151,965,1
2019-10-01 03:29:33,6411,2019-10-01 03:41:29,6007,716,0
2019-10-01 03:30:39,6196,2019-10-01 03:39:44,6915,545,1
2019-10-01 03:32:17,6250,2019-10-01 03:54:32,6212,1334,1
2019-10-01 03:32:49,6217,2019-10-01 03:40:27,6154,458,1
2019-10-01 03:34:13,6112,2019-10-01 03:43:44,6141,570,1
2019-10-01 03:34:17,6205,2019-10-01 03:38:09,6359,231,1
2019-10-01 03:37:41,6019,2019-10-01 03:49:02,6274,681,1
2019-10-01 03:38:07,6013,2019-10-01 03:48:22,7077,614,1
2019-10-01 03:40:29,6176,2019-10-01 03:44:20,7072,230,1
2019-10-01 03:42:49,6204,2019-10-01 03:48:08,6005,319,1
2019-10-01 03:43:31,6176,2019-10-01 03:49:22,6181,351,1
2019-10-01 03:50:49,6349,2019-10-01 03:56:28,7082,339,1
2019-10-01 03:52:38,6021,2019-10-01 04:00:26,6143,467,1
2019-10-01 03:53:42,6095,2019-10-01 04:25:42,6396,1920,1
2019-10-01 03:57:38,6367,2019-10-01 04:06:04,6266,506,1
2019-10-01 03:57:40,7054,2019-10-01 04:05:55,6725,495,1
2019-10-01 04:00:12,6151,2019-10-01 04:15:17,6006,905,1
2019-10-01 04:02:02,6155,2019-10-01 04:10:43,6015,521,1
2019-10-01 04:04:58,6148,2019-10-01 04:09:36,6155,277,1
2019-10-01 04:10:01,6328,2019-10-01 04:21:14,6917,673,1
2019-10-01 04:10:49,6137,2019-10-01 04:16:12,6150,323,1
2019-10-01 04:11:59,6205,2019-10-01 04:39:05,7053,1625,1
2019-10-01 04:12:38,6221,2019-10-01 04:17:42,6234,304,1
2019-10-01 04:13:25,7001,2019-10-01 04:25:01,6253,695,0
2019-10-01 04:13:27,6427,2019-10-01 04:40:11,6901,1604,0
2019-10-01 04:15:17,6248,2019-10-01 04:26:16,6321,658,1
2019-10-01 04:15:50,6204,2019-10-01 04:28:36,6025,765,0
2019-10-01 04:19:56,6131,2019-10-01 04:33:04,6367,787,1
2019-10-01 04:24:39,7020,2019-10-01 04:30:04,6124,324,1
2019-10-01 04:26:49,6233,2019-10-01 04:39:34,6204,765,1
2019-10-01 04:28:04,6396,2019-10-01 04:40:14,6731,729,1
2019-10-01 04:28:09,7029,2019-10-01 04:45:07,6147,1018,1
2019-10-01 04:29:52,6129,2019-10-01 04:48:21,7040,1108,1
2019-10-01 04:32:38,6118,2019-10-01 04:42:49,6413,611,1
2019-10-01 04:34:00,6236,2019-10-01 04:46:04,6901,724,0
2019-10-01 04:35:27,6731,2019-10-01 04:44:54,6395,566,1
2019-10-01 04:35:58,6307,2019-10-01 04:41:37,6901,339,0
2019-10-01 04:37:27,6169,2019-10-01 05:00:23,6310,1376,0
2019-10-01 04:38:44,6380,2019-10-01 04:46:41,6141,476,1
2019-10-01 04:39:24,6231,2019-10-01 04:58:54,6106,1170,1
2019-10-01 04:39:42,6231,2019-10-01 04:58:50,6106,1148,1
2019-10-01 04:40:44,6154,2019-10-01 04:46:30,6044,345,0
2019-10-01 04:43:52,6194,2019-10-01 04:49:09,6009,316,1
2019-10-01 04:44:17,6248,2019-10-01 05:02:34,6915,1096,0
2019-10-01 04:46:41,6377,2019-10-01 04:51:35,7068,294,1
2019-10-01 04:46:47,7112,2019-10-01 05:18:04,6403,1877,0
2019-10-01 04:46:50,6915,2019-10-01 04:49:59,6191,189,1
2019-10-01 04:47:30,6171,2019-10-01 05:06:42,6128,1151,1
2019-10-01 04:48:24,7064,2019-10-01 05:14:15,6042,1551,1
2019-10-01 04:52:15,6704,2019-10-01 04:57:33,6006,317,1
2019-10-01 04:53:01,6704,2019-10-01 05:06:04,6386,783,1
2019-10-01 04:53:32,7068,2019-10-01 05:05:18,7067,705,1
2019-10-01 04:55:23,6141,2019-10-01 05:07:43,6035,739,1
2019-10-01 04:58:05,6374,2019-10-01 05:07:20,6153,554,1
2019-10-01 05:02:19,7057,2019-10-01 05:20:54,6046,1115,1
2019-10-01 05:08:06,6189,2019-10-01 05:15:00,7045,413,1
2019-10-01 05:11:01,6361,2019-10-01 05:19:53,6930,532,1
2019-10-01 05:11:04,6111,2019-10-01 05:37:52,6114,1608,1
2019-10-01 05:13:04,6327,2019-10-01 05:28:28,7006,923,1
2019-10-01 05:13:18,6091,2019-10-01 05:17:46,7082,267,1
2019-10-01 05:14:09,6126,2019-10-01 05:19:37,6111,327,1
2019-10-01 05:14:12,6349,2019-10-01 05:25:32,6085,679,1
2019-10-01 05:15:03,6359,2019-10-01 05:26:08,7047,665,1
2019-10-01 05:15:39,6166,2019-10-01 05:29:54,6104,854,1
